price,href,maker,model,year
"380,000 ج.م.,340,000 ج.م.,372,000 ج.م.","/NewCars/Engines/3924,/NewCars/Engines/3923,/NewCars/Engines/3925",  بى ام دبليو,318i,2016
"415,000 ج.م.,465,000 ج.م.,480,000 ج.م.","/NewCars/Engines/3278,/NewCars/Engines/3279,/NewCars/Engines/3557",  بى ام دبليو,320i,2016
"515,000 ج.م.,635,000 ج.م.","/NewCars/Engines/3197,/NewCars/Engines/3440",  بى ام دبليو,X3,2016
"995,000 ج.م.",/NewCars/Engines/3882,  بى ام دبليو,X5,2016
"535,000 ج.م.",/NewCars/Engines/3926,  بى ام دبليو,330i,2016
"848,000 ج.م.",/NewCars/Engines/3040,  بى ام دبليو,535i,2016
"288,000 ج.م.",/NewCars/Engines/3920,  بى ام دبليو,118i,2016
"435,000 ج.م.,338,000 ج.م.,292,000 ج.م.,392,000 ج.م.","/NewCars/Engines/3908,/NewCars/Engines/3867,/NewCars/Engines/3866,/NewCars/Engines/3907",  بى ام دبليو,218i,2016
"342,000 ج.م.",/NewCars/Engines/3921,  بى ام دبليو,120i,2016
"435,000 ج.م.,475,000 ج.م.","/NewCars/Engines/3928,/NewCars/Engines/3927",  بى ام دبليو,418i,2016
"580,000 ج.م.",/NewCars/Engines/3936,  بى ام دبليو,340i,2016
"750,000 ج.م.",/NewCars/Engines/3951,  بى ام دبليو,528i,2016
"1,725,000 ج.م.",/NewCars/Engines/3952,  بى ام دبليو,640i,2016
"1,925,000 ج.م.",/NewCars/Engines/3953,  بى ام دبليو,740Li,2016
"100,000 ج.م.",/NewCars/Engines/2710,  بيجو,بارتنر,2015
"259,900 ج.م.",/NewCars/Engines/3471,  بيجو,"5008,5008","2016,2015"
"245,900 ج.م.",/NewCars/Engines/3470,  بيجو,"5008,5008","2016,2015"
"240,000 ج.م.",/NewCars/Engines/3539,  بيجو,308,2016
"215,900 ج.م.,235,900 ج.م.","/NewCars/Engines/3473,/NewCars/Engines/3463",  بيجو,3008,2016
"259,900 ج.م.",/NewCars/Engines/3471,  بيجو,"5008,5008","2016,2015"
"245,900 ج.م.",/NewCars/Engines/3470,  بيجو,"5008,5008","2016,2015"
"244,000 ج.م.,274,000 ج.م.,305,000 ج.م.","/NewCars/Engines/3466,/NewCars/Engines/3839,/NewCars/Engines/3465",  بيجو,508,2016
"157,900 ج.م.,174,900 ج.م.","/NewCars/Engines/3462,/NewCars/Engines/3438",  بيجو,208,2016
"135,000 ج.م.,145,000 ج.م.","/NewCars/Engines/3580,/NewCars/Engines/3581",  بيجو,301,2016
"175,000 ج.م.,195,000 ج.م.","/NewCars/Engines/3738,/NewCars/Engines/3739",  بيجو,2008,2016
"1,600,000 ج.م.",/NewCars/Engines/1217,  تويوتا,لاند كروزر,2014
"153,000 ج.م.,142,000 ج.م.,173,500 ج.م.,134,000 ج.م.","/NewCars/Engines/3700,/NewCars/Engines/3699,/NewCars/Engines/3701,/NewCars/Engines/3698",  تويوتا,"ياريس,ياريس","2016,2015"
"155,000 ج.م.",/NewCars/Engines/2494,  تويوتا,"ياريس,ياريس","2016,2015"
"194,900 ج.م.,204,900 ج.م.,231,900 ج.م.","/NewCars/Engines/2870,/NewCars/Engines/3128,/NewCars/Engines/2871",  تويوتا,كورولا,2016
"153,000 ج.م.,142,000 ج.م.,173,500 ج.م.,134,000 ج.م.","/NewCars/Engines/3700,/NewCars/Engines/3699,/NewCars/Engines/3701,/NewCars/Engines/3698",  تويوتا,"ياريس,ياريس","2016,2015"
"155,000 ج.م.",/NewCars/Engines/2494,  تويوتا,"ياريس,ياريس","2016,2015"
"169,400 ج.م.",/NewCars/Engines/3183,  تويوتا,أفانزا,2016
"385,000 ج.م.,425,000 ج.م.","/NewCars/Engines/3204,/NewCars/Engines/3205",  تويوتا,فورتشنر,2016
"188,900 ج.م.,207,900 ج.م.,242,900 ج.م.","/NewCars/Engines/3459,/NewCars/Engines/3599,/NewCars/Engines/3460",  تويوتا,اوريس,2016
"1,390,000 ج.م.,1,350,000 ج.م.,1,690,000 ج.م.","/NewCars/Engines/3663,/NewCars/Engines/3664,/NewCars/Engines/3045",  جاجوار,XJ,2014
"850,000 ج.م.,950,000 ج.م.","/NewCars/Engines/3044,/NewCars/Engines/3905",  جاجوار,XF,2015
"105,000 ج.م.,115,000 ج.م.,100,000 ج.م.","/NewCars/Engines/3683,/NewCars/Engines/3684,/NewCars/Engines/3245",  جريت وول,C30,2014
"89,000 ج.م.,90,000 ج.م.","/NewCars/Engines/3493,/NewCars/Engines/3615",  جيلي,ايمجراند 7,2015
"88,990 ج.م.,91,490 ج.م.","/NewCars/Engines/3622,/NewCars/Engines/3623",  جيلي,اكس باندينو,2015
"69,990 ج.م.,73,990 ج.م.,81,990 ج.م.,87,990 ج.م.","/NewCars/Engines/3618,/NewCars/Engines/3619,/NewCars/Engines/3620,/NewCars/Engines/3621",  جيلي,باندينو,2016
"192,000 ج.م.,198,500 ج.م.,205,000 ج.م.,208,500 ج.م.,158,000 ج.م.,168,500 ج.م.,175,500 ج.م.,190,500 ج.م.","/NewCars/Engines/3901,/NewCars/Engines/3902,/NewCars/Engines/3903,/NewCars/Engines/3904,/NewCars/Engines/3401,/NewCars/Engines/3402,/NewCars/Engines/3403,/NewCars/Engines/3404",  دايهاتسو,تريوس,2015
"131,500 ج.م.,136,500 ج.م.,141,500 ج.م.","/NewCars/Engines/3483,/NewCars/Engines/3484,/NewCars/Engines/3485",  دايهاتسو,سيريون,2015
"940,000 ج.م.",/NewCars/Engines/3116,  دودج,دورانجو,2014
"760,000 ج.م.",/NewCars/Engines/3117,  دودج,تشارجر,2014
"275,000 ج.م.,250,000 ج.م.","/NewCars/Engines/3608,/NewCars/Engines/3613",  دودج,دارت,2014
"690,000 ج.م.,1,250,000 ج.م.,2,200,000 ج.م.,1,150,000 ج.م.,2,590,000 ج.م.","/NewCars/Engines/3611,/NewCars/Engines/3659,/NewCars/Engines/3062,/NewCars/Engines/3066,/NewCars/Engines/3719",  رانج روفر,نيو رانج روفر,2015
"960,000 ج.م.",/NewCars/Engines/3067,  رانج روفر,رانج روفر ايفوك,2015
"1,790,000 ج.م.,2,200,000 ج.م.","/NewCars/Engines/3064,/NewCars/Engines/3065",  رانج روفر,رانج روفر اسبورت,2015
"179,900 ج.م.",/NewCars/Engines/3809,  رينو,كابتشر,2015
"167,900 ج.م.",/NewCars/Engines/3723,  رينو,ميجان,2016
"109,000 ج.م.,114,000 ج.م.,122,000 ج.م.,126,000 ج.م.,95,000 ج.م.,101,000 ج.م.","/NewCars/Engines/2976,/NewCars/Engines/3869,/NewCars/Engines/3870,/NewCars/Engines/3871,/NewCars/Engines/2783,/NewCars/Engines/3210",  رينو,لوجان,2016
"160,000 ج.م.,176,000 ج.م.,187,000 ج.م.,198,000 ج.م.","/NewCars/Engines/2799,/NewCars/Engines/3426,/NewCars/Engines/2800,/NewCars/Engines/3397",  رينو,فلوانس,2016
"145,000 ج.م.,155,000 ج.م.","/NewCars/Engines/2792,/NewCars/Engines/2793",  رينو,داستر,2016
"113,000 ج.م.,123,000 ج.م.","/NewCars/Engines/2784,/NewCars/Engines/3796",  رينو,سانديرو,2016
"130,000 ج.م.",/NewCars/Engines/3868,  رينو,سانديرو ستيب واي,2016
"171,900 ج.م.,207,900 ج.م.,214,900 ج.م.,199,900 ج.م.,185,900 ج.م.","/NewCars/Engines/3946,/NewCars/Engines/3949,/NewCars/Engines/3950,/NewCars/Engines/3948,/NewCars/Engines/3947",  سانجيونج,تيفولي,2016
"228,800 ج.م.",/NewCars/Engines/3478,  ستروين,C5,2016
"178,800 ج.م.",/NewCars/Engines/3475,  ستروين,C4,2016
"194,800 ج.م.,234,800 ج.م.","/NewCars/Engines/3480,/NewCars/Engines/2918",  ستروين,DS3,2016
"218,800 ج.م.",/NewCars/Engines/3482,  ستروين,DS4,2016
"158,800 ج.م.",/NewCars/Engines/3474,  ستروين,C3 بيكاسو,2016
"218,800 ج.م.",/NewCars/Engines/2914,  ستروين,C4 بيكاسو,2016
"258,800 ج.م.",/NewCars/Engines/3840,  ستروين,C4 جراند بيكاسو,2016
"294,800 ج.م.",/NewCars/Engines/3481,  ستروين,DS5,2016
"125,800 ج.م.,135,800 ج.م.,115,800 ج.م.","/NewCars/Engines/3499,/NewCars/Engines/3500,/NewCars/Engines/3498",  ستروين,سى اليزيه,2016
"159,900 ج.م.",/NewCars/Engines/2484,  سكودا,فابيا,2015
"210,000 ج.م.,229,000 ج.م.,260,000 ج.م.","/NewCars/Engines/3565,/NewCars/Engines/3563,/NewCars/Engines/3566",  سكودا,ييتي,2015
"165,900 ج.م.,169,400 ج.م.,153,900 ج.م.,143,900 ج.م.","/NewCars/Engines/3745,/NewCars/Engines/3777,/NewCars/Engines/3743,/NewCars/Engines/3584",  سكودا,رابيد,2015
"310,000 ج.م.,223,000 ج.م.,265,000 ج.م.","/NewCars/Engines/3776,/NewCars/Engines/3778,/NewCars/Engines/3585",  سكودا,اوكتافيا,2016
"449,000 ج.م.,489,000 ج.م.","/NewCars/Engines/3125,/NewCars/Engines/1034",  سوبارو,ليجاسى,2015
"185,000 ج.م.,205,000 ج.م.","/NewCars/Engines/3364,/NewCars/Engines/3365",  سوبارو,امبريزا,2016
"475,000 ج.م.,410,000 ج.م.","/NewCars/Engines/3549,/NewCars/Engines/3366",  سوبارو,فورستر,2016
"220,000 ج.م.,240,000 ج.م.,260,000 ج.م.","/NewCars/Engines/3126,/NewCars/Engines/3127,/NewCars/Engines/3945",  سوبارو,XV,2016
"479,000 ج.م.,529,000 ج.م.","/NewCars/Engines/3899,/NewCars/Engines/3900",  سوبارو,اوتباك,2016
"65,000 ج.م.",/NewCars/Engines/3313,  سوزوكي,ألتو,2016
"117,500 ج.م.",/NewCars/Engines/1629,  سوزوكي,سويفت,2016
"185,000 ج.م.",/NewCars/Engines/3843,  سوزوكي,SX4,2016
"121,500 ج.م.",/NewCars/Engines/3774,  سوزوكي,سويفت ديزاير,2016
"139,900 ج.م.",/NewCars/Engines/3793,  سوزوكي,ارتيجا,2016
"138,000 ج.م.",/NewCars/Engines/3851,  سوزوكي,سياز,2016
"148,000 ج.م.",/NewCars/Engines/3717,  سيات,توليدو,2015
"153,000 ج.م.,146,000 ج.م.,136,000 ج.م.","/NewCars/Engines/2956,/NewCars/Engines/2636,/NewCars/Engines/3803",  سيات,أبيزا,2015
"165,000 ج.م.,203,000 ج.م.,185,000 ج.م.,196,000 ج.م.","/NewCars/Engines/2411,/NewCars/Engines/3938,/NewCars/Engines/3543,/NewCars/Engines/3658",  سيات,"ليون,ليون","2016,2015"
"203,000 ج.م.",/NewCars/Engines/3850,  سيات,"ليون,ليون","2016,2015"
"165,000 ج.م.,203,000 ج.م.,185,000 ج.م.,196,000 ج.م.","/NewCars/Engines/2411,/NewCars/Engines/3938,/NewCars/Engines/3543,/NewCars/Engines/3658",  سيات,"ليون,ليون","2016,2015"
"203,000 ج.م.",/NewCars/Engines/3850,  سيات,"ليون,ليون","2016,2015"
"69,900 ج.م.,61,900 ج.م.,65,900 ج.م.","/NewCars/Engines/3729,/NewCars/Engines/3727,/NewCars/Engines/3728",  شنجان,بيني ميني,2016
"139,900 ج.م.",/NewCars/Engines/3789,  شنجان,CS35,2016
"100,150 ج.م.,109,240 ج.م.,102,240 ج.م.","/NewCars/Engines/3898,/NewCars/Engines/3617,/NewCars/Engines/3616",  شيفروليه,افيو,2016
"124,990 ج.م.,134,990 ج.م.","/NewCars/Engines/3093,/NewCars/Engines/3748",  شيفروليه,اوبترا,2016
"83,250 ج.م.,87,490 ج.م.","/NewCars/Engines/2876,/NewCars/Engines/3864",  شيفروليه,لانوس,2016
"153,000 ج.م.,165,000 ج.م.","/NewCars/Engines/2108,/NewCars/Engines/3095",  شيفروليه,كروز,2016
"169,000 ج.م.,179,000 ج.م.,157,000 ج.م.,163,000 ج.م.","/NewCars/Engines/3750,/NewCars/Engines/3751,/NewCars/Engines/3749,/NewCars/Engines/3884",  فورد,فيستا,2015
"213,000 ج.م.,243,000 ج.م.,208,000 ج.م.,219,000 ج.م.,233,000 ج.م.,198,000 ج.م.","/NewCars/Engines/3753,/NewCars/Engines/3883,/NewCars/Engines/3323,/NewCars/Engines/3714,/NewCars/Engines/3940,/NewCars/Engines/3752",  فورد,فوكاس,2015
"113,000 ج.م.,105,000 ج.م.","/NewCars/Engines/3824,/NewCars/Engines/3823",  فورد,كا,2015
"305,000 ج.م.,306,000 ج.م.,349,000 ج.م.,250,000 ج.م.,275,000 ج.م.","/NewCars/Engines/3887,/NewCars/Engines/3960,/NewCars/Engines/3888,/NewCars/Engines/3885,/NewCars/Engines/3886",  فورد,فيوجن,2015
"194,000 ج.م.,204,000 ج.م.","/NewCars/Engines/3791,/NewCars/Engines/3792",  فورد,بي ماكس,2015
"278,000 ج.م.,299,000 ج.م.,338,000 ج.م.,283,000 ج.م.","/NewCars/Engines/3891,/NewCars/Engines/3890,/NewCars/Engines/3892,/NewCars/Engines/3961",  فورد,كوجا,2015
"328,000 ج.م.,368,000 ج.م.","/NewCars/Engines/3083,/NewCars/Engines/3084",  فولفو,S60,2015
"358,000 ج.م.,418,000 ج.م.","/NewCars/Engines/3641,/NewCars/Engines/3086",  فولفو,S80,2015
"348,000 ج.م.",/NewCars/Engines/3645,  فولفو,V40,2015
"338,000 ج.م.",/NewCars/Engines/3087,  فولفو,V60,2015
"582,000 ج.م.",/NewCars/Engines/3088,  فولفو,XC 60,2016
"980,000 ج.م.,820,000 ج.م.","/NewCars/Engines/3090,/NewCars/Engines/2698",  فولفو,XC 90,2016
"149,900 ج.م.",/NewCars/Engines/2527,  فولكس فاجن,بولو,2014
"249,000 ج.م.",/NewCars/Engines/2922,  فولكس فاجن,جولف,2016
"267,000 ج.م.",/NewCars/Engines/3697,  فولكس فاجن,باسات,2016
"349,000 ج.م.",/NewCars/Engines/3434,  فولكس فاجن,تيجوان,2016
"125,900 ج.م.,144,900 ج.م.,104,900 ج.م.","/NewCars/Engines/3819,/NewCars/Engines/3820,/NewCars/Engines/3818",  فيات,بونتو,2015
"165,000 ج.م.,179,000 ج.م.","/NewCars/Engines/3134,/NewCars/Engines/3133",  فيات,500,2015
"108,000 ج.م.",/NewCars/Engines/3831,  فيات,فيورينو,2015
"119,900 ج.م.",/NewCars/Engines/3832,  فيات,كوبو,2015
"180,000 ج.م.,195,000 ج.م.","/NewCars/Engines/3833,/NewCars/Engines/3834",  فيات,500L,2015
"132,900 ج.م.,105,000 ج.م.,182,900 ج.م.","/NewCars/Engines/3837,/NewCars/Engines/3836,/NewCars/Engines/3838",  فيات,دوبلو,2015
"204,900 ج.م.",/NewCars/Engines/3937,  فيات,500C,2015
"785,000 ج.م.",/NewCars/Engines/3114,  كرايسلر,تاون اند كاونتري,2014
"890,000 ج.م.",/NewCars/Engines/3113,  كرايسلر,300C,2014
"159,900 ج.م.,166,900 ج.م.,148,900 ج.م.,173,000 ج.م.,149,900 ج.م.,160,900 ج.م.,167,900 ج.م.,137,900 ج.م.,136,900 ج.م.","/NewCars/Engines/3266,/NewCars/Engines/3268,/NewCars/Engines/3265,/NewCars/Engines/3269,/NewCars/Engines/3876,/NewCars/Engines/3878,/NewCars/Engines/3879,/NewCars/Engines/3875,/NewCars/Engines/3264",  كيا,ريو,2016
"789,900 ج.م.",/NewCars/Engines/3422,  كيا,سورنتو,2016
"719,900 ج.م.",/NewCars/Engines/3421,  كيا,كارنافال,2016
"216,900 ج.م.,234,900 ج.م.,202,900 ج.م.,251,900 ج.م.,190,900 ج.م.","/NewCars/Engines/3769,/NewCars/Engines/3770,/NewCars/Engines/3575,/NewCars/Engines/3786,/NewCars/Engines/3768",  كيا,كارينز,2016
"111,900 ج.م.,122,900 ج.م.,118,900 ج.م.,123,900 ج.م.,119,900 ج.م.,97,900 ج.م.","/NewCars/Engines/3262,/NewCars/Engines/3781,/NewCars/Engines/3652,/NewCars/Engines/3959,/NewCars/Engines/3958,/NewCars/Engines/3649",  كيا,بيكانتو,2016
"179,900 ج.م.,194,900 ج.م.,163,900 ج.م.,169,900 ج.م.,147,900 ج.م.,202,900 ج.م.","/NewCars/Engines/3784,/NewCars/Engines/3713,/NewCars/Engines/3531,/NewCars/Engines/3256,/NewCars/Engines/3771,/NewCars/Engines/3431",  كيا,سيراتو,2016
"246,900 ج.م.,256,900 ج.م.,275,900 ج.م.,232,900 ج.م.","/NewCars/Engines/3276,/NewCars/Engines/3797,/NewCars/Engines/3277,/NewCars/Engines/3275",  كيا,سبورتاج,2016
"178,900 ج.م.,192,900 ج.م.,202,900 ج.م.,216,900 ج.م.","/NewCars/Engines/3272,/NewCars/Engines/3855,/NewCars/Engines/3273,/NewCars/Engines/3274",  كيا,سول,2016
"185,900 ج.م.,198,900 ج.م.,173,900 ج.م.,201,900 ج.م.,179,900 ج.م.","/NewCars/Engines/3912,/NewCars/Engines/3913,/NewCars/Engines/3911,/NewCars/Engines/3915,/NewCars/Engines/3914",  كيا,سييد,2016
"92,000 ج.م.,82,000 ج.م.","/NewCars/Engines/3918,/NewCars/Engines/3916",  لادا,جرانتا,2016
"775,000 ج.م.",/NewCars/Engines/3669,  مازدا,CX9,2013
"470,000 ج.م.,470,000 ج.م.,635,000 ج.م.","/NewCars/Engines/3726,/NewCars/Engines/3897,/NewCars/Engines/3668",  مازدا,6,2014
"199,990 ج.م.,236,990 ج.م.,233,990 ج.م.","/NewCars/Engines/974,/NewCars/Engines/3782,/NewCars/Engines/3597",  مازدا,3,2016
"338,000 ج.م.,305,000 ج.م.","/NewCars/Engines/3627,/NewCars/Engines/3626",  مرسيدس,B 180,2015
"405,000 ج.م.,500,000 ج.م.,450,000 ج.م.,505,000 ج.م.","/NewCars/Engines/2575,/NewCars/Engines/2331,/NewCars/Engines/3634,/NewCars/Engines/3370",  مرسيدس,C180,2016
"330,000 ج.م.",/NewCars/Engines/3553,  مرسيدس,A200,2016
"1,460,000 ج.م.",/NewCars/Engines/3667,  مرسيدس,S400,2016
"330,000 ج.م.,370,000 ج.م.,408,000 ج.م.","/NewCars/Engines/3670,/NewCars/Engines/3671,/NewCars/Engines/3794",  مرسيدس,CLA 180,2016
"455,000 ج.م.",/NewCars/Engines/3673,  مرسيدس,CLA 200,2016
"370,000 ج.م.,412,000 ج.م.","/NewCars/Engines/3844,/NewCars/Engines/3845",  مرسيدس,GLA 200,2016
"588,000 ج.م.",/NewCars/Engines/3919,  مرسيدس,E 180,2016
"112,000 ج.م.,119,000 ج.م.,127,000 ج.م.","/NewCars/Engines/3873,/NewCars/Engines/3872,/NewCars/Engines/3874",  نيسان,صني,2016
"165,000 ج.م.",/NewCars/Engines/3282,  نيسان,تيدا,2016
"205,000 ج.م.,215,000 ج.م.,235,000 ج.م.","/NewCars/Engines/3076,/NewCars/Engines/3846,/NewCars/Engines/3847",  نيسان,قاشقاي,2016
"181,000 ج.م.",/NewCars/Engines/3842,  نيسان,جيوك بلاتينيوم,2016
"730,500 ج.م.",/NewCars/Engines/3614,  نيسان,باث فايندر,2016
"139,900 ج.م.,149,900 ج.م.","/NewCars/Engines/3787,/NewCars/Engines/3788",  نيسان,سنترا,2016
"242,000 ج.م.",/NewCars/Engines/2980,  هوندا,سيفيك,2015
"173,900 ج.م.,194,900 ج.م.","/NewCars/Engines/3284,/NewCars/Engines/3246",  هوندا,سيتي,2016
"630,000 ج.م.,735,000 ج.م.","/NewCars/Engines/3399,/NewCars/Engines/2993",  هيونداى,سانتا فيه,2015
"156,490 ج.م.,145,990 ج.م.,146,990 ج.م.,150,990 ج.م.,149,990 ج.م.,162,700 ج.م.,163,700 ج.م.","/NewCars/Engines/2692,/NewCars/Engines/3724,/NewCars/Engines/3703,/NewCars/Engines/3224,/NewCars/Engines/3704,/NewCars/Engines/3780,/NewCars/Engines/3779",  هيونداى,اكسنت,2016
"106,990 ج.م.,104,990 ج.م.,107,740 ج.م.,108,740 ج.م.,92,990 ج.م.,93,990 ج.م.,96,990 ج.م.,97,990 ج.م.,97,740 ج.م.,98,740 ج.م.","/NewCars/Engines/3588,/NewCars/Engines/3572,/NewCars/Engines/3848,/NewCars/Engines/3767,/NewCars/Engines/3292,/NewCars/Engines/3296,/NewCars/Engines/3280,/NewCars/Engines/3293,/NewCars/Engines/3638,/NewCars/Engines/3639",  هيونداى,فرنا,2016
"179,990 ج.م.,164,990 ج.م.,168,990 ج.م.,198,490 ج.م.,184,990 ج.م.","/NewCars/Engines/3740,/NewCars/Engines/2759,/NewCars/Engines/3705,/NewCars/Engines/3742,/NewCars/Engines/3706",  هيونداى,الانترا,2016
"254,990 ج.م.,273,990 ج.م.,306,990 ج.م.,282,990 ج.م.","/NewCars/Engines/3954,/NewCars/Engines/3955,/NewCars/Engines/3957,/NewCars/Engines/3956",  هيونداى,توسان,2016
"98,990 ج.م.,103,250 ج.م.,87,990 ج.م.","/NewCars/Engines/3235,/NewCars/Engines/3236,/NewCars/Engines/3234",  هيونداى,I 10,2016
"161,990 ج.م.,171,990 ج.م.","/NewCars/Engines/2776,/NewCars/Engines/3232",  هيونداى,I30,2016
"119,300 ج.م.,120,300 ج.م.,114,350 ج.م.,115,350 ج.م.,103,750 ج.م.,104,750 ج.م.","/NewCars/Engines/3827,/NewCars/Engines/3830,/NewCars/Engines/3826,/NewCars/Engines/3829,/NewCars/Engines/3825,/NewCars/Engines/3828",  هيونداى,جراند I10,2016
"145,490 ج.م.,147,490 ج.م.,155,490 ج.م.,157,490 ج.م.","/NewCars/Engines/3929,/NewCars/Engines/3934,/NewCars/Engines/3930,/NewCars/Engines/3935",  هيونداى,سولاريس,2016
"189,990 ج.م.,224,990 ج.م.,240,990 ج.م.","/NewCars/Engines/3931,/NewCars/Engines/3932,/NewCars/Engines/3933",  هيونداى,كريتا,2016
